#SUBARU CENTER	
#Wavelength (A)	%T
23943.99902  60.60795212
23941.99951  61.14559174
23940.0  61.54720688
23938.00049  62.10734177
23936.00098  62.56896973
23933.99902  63.07489395
23931.99951  63.46520615
23930.0  63.96043777
23928.00049  64.38964081
23926.00098  64.87581635
23923.99902  65.33965302
23921.99951  65.77310181
23920.0  66.25917053
23918.00049  66.65127563
23916.00098  67.15468597
23913.99902  67.52377319
23911.99951  68.00395203
23910.0  68.35348511
23908.00049  68.84002686
23906.00098  69.20425415
23903.99902  69.67431641
23901.99951  70.04823303
23900.0  70.46619415
23898.00049  70.84949493
23896.00098  71.19988251
23893.99902  71.61512756
23891.99951  71.94793701
23890.0  72.37049103
23888.00049  72.70317841
23886.00098  73.14434052
23883.99902  73.44677734
23881.99951  73.86495972
23880.0  74.16036987
23878.00049  74.5294342
23876.00098  74.83487701
23873.99902  75.17502594
23871.99951  75.47476196
23870.0  75.8170166
23868.00049  76.16291809
23866.00098  76.41197205
23863.99902  76.76400757
23861.99951  77.03340149
23860.0  77.35112762
23858.00049  77.58820343
23856.00098  77.9193573
23853.99902  78.15878296
23851.99951  78.47682953
23850.0  78.69065857
23848.00049  78.96882629
23846.00098  79.20497894
23843.99902  79.44680023
23841.99951  79.69713593
23840.0  79.92116547
23838.00049  80.15971375
23836.00098  80.34321594
23833.99902  80.60673523
23831.99951  80.7894516
23830.0  81.02785492
23828.00049  81.18585205
23826.00098  81.42578888
23823.99902  81.55807495
23821.99951  81.79519653
23820.0  81.94626617
23818.00049  82.13483429
23816.00098  82.31319427
23813.99902  82.45529175
23811.99951  82.64801788
23810.0  82.74737549
23808.00049  82.93347168
23806.00098  83.05392456
23803.99902  83.20993805
23801.99951  83.3062439
23800.0  83.46295929
23798.00049  83.58566284
23796.00098  83.73407745
23793.99902  83.7955246
23791.99951  83.9256897
23790.0  84.01823425
23788.00049  84.12741089
23786.00098  84.23106384
23783.99902  84.29520416
23781.99951  84.39381409
23780.0  84.47360229
23778.00049  84.57315826
23776.00098  84.632164
23773.99902  84.73213959
23771.99951  84.78887939
23770.0  84.85809326
23768.00049  84.91812134
23766.00098  84.97536469
23763.99902  85.02204132
23761.99951  85.07756042
23760.0  85.14115906
23758.00049  85.16181946
23756.00098  85.21878815
23753.99902  85.2381134
23751.99951  85.29150391
23750.0  85.29651642
23748.00049  85.36696625
23746.00098  85.36763763
23743.99902  85.38439941
23741.99951  85.42184448
23740.0  85.4630661
23738.00049  85.45375824
23736.00098  85.48100281
23733.99902  85.4858017
23731.99951  85.47705841
23730.0  85.49436188
23728.00049  85.51683044
23726.00098  85.51971436
23723.99902  85.49693298
23721.99951  85.51405334
23720.0  85.50067902
23718.00049  85.48832703
23716.00098  85.50423431
23713.99902  85.46478271
23711.99951  85.4621048
23710.0  85.46215057
23708.00049  85.41724396
23706.00098  85.42285919
23703.99902  85.42842865
23701.99951  85.3900528
23700.0  85.36833191
23698.00049  85.36074829
23696.00098  85.31095123
23693.99902  85.30240631
23691.99951  85.28630066
23690.0  85.26251221
23688.00049  85.22795105
23686.00098  85.19927979
23683.99902  85.1758728
23681.99951  85.12607574
23680.0  85.12245178
23678.00049  85.09713745
23676.00098  85.06885529
23673.99902  85.02738953
23671.99951  85.00590515
23670.0  84.96530914
23668.00049  84.94926453
23666.00098  84.90444183
23663.99902  84.85932159
23661.99951  84.81838989
23660.0  84.80108643
23658.00049  84.74651337
23656.00098  84.72579193
23653.99902  84.68048859
23651.99951  84.63694
23650.0  84.62274933
23648.00049  84.57939911
