# ED780-1		ED780-2
# 80mm Dia X 5mmT w/ wedge		
# Measured at Center of part		
# 298K,0 deg aoi		
## note that the temperature and aoi difference is negligible.
# peakT%	97.48438263	97.84909821
# Cut-on:	1493.19	1492.97
# Cut-off:	1778.53	1782.27
# wl(A)	T%	T%
17055.0  97.438591  97.78868866
17050.0  97.46726227  97.83786011
17045.0  97.48438263  97.84909821
17040.0  97.46886444  97.83509064
17035.0  97.43610382  97.83679962
17030.0  97.39198303  97.81893921
17025.0  97.37498474  97.81256866
17020.0  97.30863953  97.79247284
17015.0  97.29351807  97.78084564
17010.0  97.1974411  97.7146225
17005.0  97.14837646  97.7024765
17000.0  97.05691528  97.63759613
16995.0  97.01425171  97.60492706
16990.0  96.93075562  97.58101654
16985.0  96.81150055  97.50563812
16980.0  96.76326752  97.45874023
16975.0  96.65740967  97.34869385
16970.0  96.5404129  97.30557251
16965.0  96.47830963  97.26689911
16960.0  96.37811279  97.20838928
16955.0  96.24101257  97.10569763
16950.0  96.18920898  97.08091736
16945.0  96.10925293  97.04512024
16940.0  96.00678253  96.94709778
16935.0  95.90853882  96.89237976
16930.0  95.85292053  96.82793427
16925.0  95.73790741  96.74317169
16920.0  95.6328125  96.63018799
16915.0  95.63730621  96.64057159
16910.0  95.55432129  96.58676147
16905.0  95.43567657  96.45614624
16900.0  95.37490845  96.3916626
16895.0  95.41824341  96.41868591
16890.0  95.32656097  96.29502869
16885.0  95.23181915  96.19798279
16880.0  95.22926331  96.16072845
16875.0  95.20569611  96.0762558
16870.0  95.16614532  95.97583008
16865.0  95.15756989  95.93106079
16860.0  95.14945221  95.8487854
16855.0  95.14764404  95.75933075
16850.0  95.13629913  95.68849182
16845.0  95.12171173  95.59436035
16840.0  95.14868927  95.51350403
16835.0  95.14807129  95.41310883
16830.0  95.1696167  95.34440613
16825.0  95.19128418  95.25585938
16820.0  95.23740387  95.16775513
16815.0  95.27864075  95.11458588
16810.0  95.34294128  95.03616333
16805.0  95.36034393  94.96149445
16800.0  95.3937149  94.88795471
16795.0  95.45644379  94.85188293
16790.0  95.47867584  94.75199127
16785.0  95.5177536  94.68908691
16780.0  95.56062317  94.61497498
16775.0  95.6404953  94.58065033
16770.0  95.67103577  94.5022583
16765.0  95.73336029  94.46755981
16760.0  95.77663422  94.38715363
16755.0  95.83883667  94.3592453
16750.0  95.88700867  94.31730652
16745.0  95.90605164  94.29103851
16740.0  95.97690582  94.2743988
16735.0  96.00862885  94.24558258
16730.0  96.05654144  94.2466507
16725.0  96.11686707  94.20563507
16720.0  96.1517868  94.2268219
16715.0  96.21221924  94.2153244
16710.0  96.26384735  94.24474335
16705.0  96.2877655  94.27800751
16700.0  96.27487946  94.25973511
16695.0  96.36474609  94.35712433
16690.0  96.3757782  94.36104584
16685.0  96.38932037  94.36179352
16680.0  96.46334076  94.48131561
16675.0  96.51876831  94.54147339
16670.0  96.51656342  94.54679871
16665.0  96.5995636  94.70212555
16660.0  96.6194458  94.78879547
16655.0  96.62611389  94.83201599
16650.0  96.64916992  94.9283371
16645.0  96.69198608  95.04074097
16640.0  96.74311066  95.15744781
16635.0  96.76800537  95.21895599
16630.0  96.76031494  95.29715729
16625.0  96.82548523  95.43711853
16620.0  96.84434509  95.56090546
16615.0  96.84744263  95.64756012
16610.0  96.89105988  95.79316711
16605.0  96.92510223  95.87565613
16600.0  96.95452118  95.96356201
16595.0  96.98397827  96.05955505
16590.0  97.00944519  96.17344666
16585.0  97.02051544  96.28796387
16580.0  97.05143738  96.36872864
16575.0  97.06226349  96.46682739
16570.0  97.10890198  96.51914215
16565.0  97.12201691  96.6031723
16560.0  97.12477875  96.66770935
16555.0  97.16577148  96.74798584
16550.0  97.2053833  96.79087067
16545.0  97.17381287  96.8447113
16540.0  97.21646881  96.8543396
16535.0  97.19330597  96.84853363
16530.0  97.22745514  96.90585327
16525.0  97.22874451  96.94133759
16520.0  97.22123718  96.92243195
16515.0  97.22164154  96.89957428
16510.0  97.20925903  96.89604187
16505.0  97.21485901  96.829216
16500.0  97.16584015  96.79914093
16495.0  97.16457367  96.75186157
16490.0  97.15010071  96.697258
16485.0  97.09994507  96.6504364
16480.0  97.06274414  96.58182526
16475.0  97.04302979  96.47649384
16470.0  97.02733612  96.40927124
16465.0  96.95626831  96.33565521
16460.0  96.92263031  96.24520874
16455.0  96.83861542  96.13820648
16450.0  96.80034637  96.0737915
16445.0  96.73744202  95.94076538
16440.0  96.62812042  95.79061127
16435.0  96.60086823  95.7510376
16430.0  96.52719116  95.65706635
16425.0  96.4417572  95.5267334
16420.0  96.36632538  95.41471863
16415.0  96.2658844  95.30312347
16410.0  96.22133636  95.26450348
16405.0  96.07959747  95.09526825
16400.0  95.95681  94.99123383
16395.0  95.94108582  94.95864105
16390.0  95.81510925  94.8406601
16385.0  95.72239685  94.73682404
16380.0  95.6134491  94.67328644
16375.0  95.5370636  94.61158752
16370.0  95.43221283  94.56717682
16365.0  95.3011322  94.45527649
